University,Rank,Total,CS:GO,Dota 2,League of Legends,Overwatch,Rainbow 6,Rocket League,Smash,Valorant,TFT,Racing,UFG,Total Students,Male Students,Female Students,First Years,Not First Years,Delta,Relative Delta,Predicted Results
Newcastle University,21,677,174,0,134,39,110,43,80,93,0,4,0,28070,8595,11580,9010,11165,35.2,0.059359191,557.8
University of Bristol,22,649,123,139,148,114,18,21,13,61,12,0,0,27375,7410,11530,7185,11800,66,0.105769231,558
University of Kent,23,648,47,0,104,19,64,163,67,160,0,24,0,18710,8570,10135,7175,11530,-48,-0.086175943,605
University of Leeds,24,630,91,47,148,54,173,114,0,3,0,0,0,36330,7680,7950,6600,9065,-147,-0.233333333,777
Cardiff University,25,602,139,5,128,50,72,46,0,136,4,22,0,33260,5015,5905,5025,5895,118,0.204861111,458
University of Lincoln,26,593,60,17,206,85,56,135,0,28,0,3,3,16425,7440,8740,6490,9690,118,0.201022147,469
University of Reading,27,590,18,0,28,104,94,173,20,54,0,52,47,18735,14480,12295,11965,14810,6,0.012738854,465
University of Sheffield,28,585,171,114,124,29,26,30,0,86,0,5,0,30055,15670,19080,14845,19995,36.2,0.062413793,543.8
Royal Holloway University of London,29,579,112,19,105,112,39,25,0,142,0,22,3,11530,515,705,435,785,69,0.124548736,485
Coventry University,30,563,43,0,126,84,53,11,0,109,21,116,0,38430,90,450,335,210,45,0.105633803,381
Roehampton University,31,502,28,0,163,127,0,75,0,88,8,13,0,12495,4880,7770,5090,7575,8,0.016632017,473
Imperial College London,32,499,155,63,128,0,31,75,16,23,3,0,5,19400,6680,4475,4245,6910,-12.8,-0.026947368,487.8
Oxford Brookes University,33,473,13,0,0,28,107,34,2,202,2,75,10,16900,895,1435,905,1455,17,0.044270833,367
University of Salford,34,455,0,0,186,0,12,185,60,12,0,0,0,21500,8475,10240,8340,10395,157.5,0.398734177,237.5
University of Sussex,35,447,61,6,121,6,0,134,0,106,0,10,3,19395,1335,1410,1310,1445,66,0.152073733,368
Bournemouth University,36,434,120,0,6,52,0,178,7,71,0,0,0,17390,455,1820,1040,1245,-60.8,-0.142388759,487.8
Brunel University,37,429,90,4,21,0,26,0,93,104,0,59,32,15520,8090,9265,7255,10135,-187,-0.763265306,432
University of Essex,38,407,95,0,26,24,10,205,0,39,0,0,8,16530,13525,21765,14965,20410,117.5,0.294486216,281.5
University of Surrey,39,386,61,17,142,28,16,68,0,35,0,9,10,16990,1335,1410,1310,1445,23,0.0626703,344
University of Cambridge,40,367,102,62,71,65,0,44,1,17,0,5,0,21340,1480,1620,1600,1500,-7.8,-0.021606648,368.8
Queens University Belfast,41,353,127,0,0,0,134,56,3,29,4,0,0,24915,9840,11815,10485,11180,-23.6,-0.068208092,369.6
University of Liverpool,42,325,4,5,111,4,108,81,0,5,0,0,7,29600,7540,8875,7105,9315,-44,-0.13836478,362
Heriot Watt University,43,314,52,1,32,11,53,47,0,118,0,0,0,11155,665,1330,870,1120,-7,-0.022292994,321
Aston University,44,309,76,0,90,2,3,26,0,93,0,0,19,15385,9995,16700,12270,14445,-23,-0.079310345,313
University of Abertay Dundee,45,299,0,1,46,95,43,4,0,110,0,0,0,4280,200,260,155,310,92,0.307692308,207
University of Glasgow,46,284,135,20,29,39,8,26,8,0,0,19,0,32465,12410,14475,11850,15085,-2.8,-0.010894942,259.8
University of Chichester,47,269,133,0,14,21,40,0,0,60,0,1,0,5545,10470,14245,11230,13485,157,0.585820896,111
Liverpool John Moores University,48,258,36,0,26,0,0,91,0,105,0,0,0,25050,1595,3370,2270,2715,22,0.085271318,236
University of Leicester,49,238,0,0,45,6,60,109,2,16,0,0,0,16180,14370,21935,15565,20765,-52,-0.220338983,288
University of Hertfordshire,50,227,0,0,85,0,12,29,0,56,0,39,6,25520,12710,19270,15865,16600,-84,-0.461538462,266
